id,Class,texture1,texture2,texture3,texture4,texture5,texture6,texture7,texture8,texture9,texture10,texture11,texture12,texture13,texture14,texture15,texture16,texture17,texture18,texture19,texture20,texture21,texture22,texture23,texture24,texture25,texture26,texture27,texture28,texture29,texture30,texture31,texture32,texture33,texture34,texture35,texture36,texture37,texture38,texture39,texture40,texture41,texture42,texture43,texture44,texture45,texture46,texture47,texture48,texture49,texture50,texture51,texture52,texture53,texture54,texture55,texture56,texture57,texture58,texture59,texture60,texture61,texture62,texture63,texture64,texture65,texture66,texture67,texture68,texture69,texture70,texture71,texture72,texture73,texture74,texture75,texture76,texture77,texture78,texture79,texture80,texture81,texture82,texture83,texture84,texture85,texture86,texture87,texture88,texture89,texture90,texture91,texture92,texture93,texture94,texture95,texture96,texture97,texture98,texture99,texture100,texture101,texture102,texture103,texture104,texture105,texture106,texture107,texture108,texture109,texture110,texture111,texture112,texture113,texture114,texture115,texture116,texture117,texture118,texture119,texture120,texture121,texture122,texture123,texture124,texture125,texture126,texture127,texture128,m1,m2,m3,m4,m5,m6,m7
1,bike,17.49537,33.31019,16.847216,7.1805573,4.0370374,3.495369,3.0277796,2.6342587,90.26852,66.5463,11.620371,3.9629629,3.1990738,3.7175937,4.143517,25.148153,88.708336,29.75926,4.5,4.5972195,5.8796277,6.962968,7.6990724,46.53703,15.495368,2.6805549,4.37963,7.9675937,18.004627,10.564814,8.351851,22.018522,24.90278,18.356478,8.870371,7.6805606,5.129629,4.888891,3.699071,4.587962,133.40741,52.324074,9.546297,5.2268534,4.606483,5.273146,5.3796325,41.773155,131.64816,42.06019,6.9398136,6.138891,9.421289,5.671297,5.467593,38.777782,21.27778,5.421297,3.6342587,8.587961,24.907406,10.574078,5.884258,10.291666,26.36111,6.865741,2.8055544,3.9444447,4.6157413,7.379628,11.620371,18.791668,133.0463,42.768524,5.0740714,3.986109,4.2129602,6.879628,12.976853,53.754623,130.14351,38.657406,7.2314844,6.231481,8.564811,5.9027805,8.041667,43.050922,20.907406,9.888892,6.8935156,9.36111,25.013876,8.837961,3.9629633,6.6666665,20.199076,3.0462966,1.7685182,1.9490743,2.4814813,5.9861083,19.134258,33.64816,91.611115,24.037031,3.88889,4.1064825,2.2777784,3.898148,13.819441,65.09259,88.550934,43.111126,8.694445,6.12963,5.643515,4.259261,4.4444456,29.449078,16.287039,18.231478,9.625,10.08796,18.569437,8.449079,1.7685189,3.6574068,3.03757292037642,9.428653642658789,12.143236004473218,11.641185863230545,23.544150240020972,16.37645905752029,24.191354720777056
120,boat,19.272726,16.666668,15.424244,4.3333335,0.18181816,0.0,2.424242,1.0,99.454544,54.575756,16.363638,0.5151515,0.030303033,0.18181814,2.6060607,20.727272,103.878784,27.454546,2.2727273,0.0,0.15151517,6.484849,4.0,40.60606,12.878789,1.3636365,0.0,0.0,7.515151,17.060604,6.6363654,10.242424,20.818182,20.272726,12.454546,8.212121,8.212121,0.81818175,1.6666666,3.5757575,145.60606,55.757576,14.69697,0.84848475,0.96969706,1.090909,2.606061,44.424244,146.33333,47.272724,5.3939395,0.0,3.5151513,6.7878785,1.3636366,41.636364,20.545454,4.3333335,0.060606074,0.121212125,4.484849,9.090907,2.1515148,5.515151,22.18182,5.181818,0.969697,0.8181817,8.212121,8.272728,21.242422,20.515152,146.42424,50.333336,2.6363635,0.12121213,0.5151515,1.5454547,16.454546,53.393944,147.84848,41.060608,0.4848485,0.2121212,1.787879,5.2121215,7.0606055,45.272724,22.181818,3.848485,0.7575757,2.606061,1.3030305,2.7272732,0.9393939,3.9696972,14.39394,4.4242425,0.75757563,0.0,0.18181816,3.727273,20.75758,22.818182,112.36363,28.666664,0.84848493,0.0,0.0,0.24242425,15.969697,49.333332,110.818184,39.24242,0.9090909,1.1818182,0.121212125,0.6666667,2.7272727,28.151512,17.60606,7.909091,3.0909092,6.757576,1.0909091,0.3333333,0.45454547,2.393939,2.862628155919367,7.69640978471538,10.58403216007759,11.01372450548132,21.842240687260247,14.910697680373014,22.25970705658818
223,canoe,26.166668,27.555555,2.8888888,18.833332,19.555553,8.555554,1.6666667,1.9444443,97.16667,58.444447,8.277778,13.5,9.611109,2.9444444,4.2222223,15.166666,83.333336,37.055557,4.2777777,14.166667,5.2777777,2.7222223,2.1111112,20.38889,12.277778,3.6111114,0.5555556,9.333334,11.0,6.722223,0.44444448,12.388889,26.333334,24.277779,5.3333335,19.611109,20.388891,8.555554,3.1111114,2.5555556,122.5,83.55556,17.5,20.333334,11.0,12.055554,8.777777,22.833332,136.88889,62.055553,11.666666,16.166668,5.5,10.277778,4.111111,20.777779,28.055555,8.055555,0.77777785,9.5,5.722223,3.7222228,0.6666667,5.5555553,25.666668,10.111111,3.3333333,21.666664,15.166666,4.277777,1.5555557,3.2777777,133.61111,65.44444,15.666667,16.5,11.11111,9.944446,2.2222223,21.111109,124.333336,78.666664,15.88889,14.277778,4.7222223,12.333333,2.9444444,22.833332,29.944445,20.222221,3.4444444,8.611111,1.1666667,2.7777777,0.8333333,3.2222226,5.9444447,3.5555558,2.1111114,14.888891,8.777778,6.555555,6.388889,6.0555553,87.111115,46.055557,4.333333,6.444445,6.0,5.1666665,3.2777777,26.0,114.22222,60.944443,7.111111,5.0555553,3.666667,6.3333335,1.2222221,23.055555,39.833336,18.555555,7.3888893,2.7222226,0.38888893,1.8888886,1.2777778,4.666667,2.538916391670976,5.17435411059946,8.476956298732155,8.489181331370716,16.97444796441451,11.096400816480875,17.970729424170184
407,car,16.909092,7.9848485,0.22727281,0.0,0.0,0.0,0.0,1.0757576,145.4697,33.318184,1.090909,0.0,0.0,0.0,0.045454565,27.136362,148.56061,17.454546,0.34848478,0.0,0.0,0.8484851,1.1666666,37.121212,17.212122,0.6515152,0.0,0.0,0.0,2.5757573,3.5606048,8.181818,26.439396,2.9090905,0.015151523,0.0,0.0,0.0,0.0,2.8030305,172.33333,25.89394,0.89393926,0.0,0.0,0.0,0.0,36.924244,172.16667,26.818182,0.5757574,0.0,0.0,0.19696975,0.36363637,26.545454,21.378788,2.3181818,0.0,0.0,0.0,0.9696975,1.2424244,1.9696974,25.272728,2.9090908,0.015151523,0.0,0.0,0.0,0.030303042,2.8181818,172.51515,39.12121,0.121212184,0.0,0.0,0.0,0.045454554,25.848486,172.56061,31.12121,0.030303046,0.0,0.0,0.0,0.0,25.545454,22.227272,2.2424245,0.030303046,0.0,0.0,0.015151523,0.0,2.090909,18.742424,0.969697,0.0,0.0,0.0,0.0,0.40909085,10.318183,142.72726,22.257576,0.0,0.0,0.0,0.0,0.83333325,37.378788,143.31818,40.439392,0.121212184,0.0,0.0,0.0,0.12121216,21.848488,18.136362,7.727273,0.54545444,0.0,0.0,0.0,0.0,0.89393944,2.692479602208306,5.814240553995553,10.342727117367394,10.397304997111572,20.767365854803852,13.321095484006596,22.610079410292972
591,human,16.315786,12.842107,6.778948,3.3157887,1.0736839,0.7157893,0.8526321,4.789473,103.05263,39.57895,7.0947375,1.242106,0.16842099,0.87368435,3.0,33.589474,107.86316,28.77895,0.6842104,0.05263156,0.15789476,0.62105274,12.010526,51.4,21.463154,3.0947366,0.063157916,0.55789435,2.0210533,2.1894739,16.557896,23.157892,26.91579,11.031579,4.747369,3.6000006,2.210527,1.9368412,1.1368421,6.4947376,144.72632,41.778954,4.2421064,1.9473685,1.789473,1.7368418,4.1157885,52.768417,145.43158,36.063156,2.326315,1.5684215,3.389474,2.305264,6.6210527,61.536842,28.042105,4.1894736,1.2105268,1.7263159,4.4210534,3.4526317,7.2842107,18.778946,27.189472,5.3263154,0.9578947,1.1052634,1.4526312,3.547369,8.821054,22.147367,144.89473,38.33684,2.2842107,2.221052,1.0421053,2.3684208,7.9894743,61.063156,145.36842,44.252636,3.4947374,2.5157886,3.6105263,3.0210533,5.4315786,49.42105,27.43158,12.621054,5.357895,2.3684213,4.9578943,2.9789472,1.7894732,6.957895,23.43158,3.9894738,0.010526315,0.010526315,0.168421,2.8947372,12.778949,29.589472,101.8421,30.178946,0.38947362,0.13684209,0.021052629,0.6210527,11.168422,50.757893,101.70526,49.884205,8.168422,1.9789478,0.6421054,0.84210503,1.7578948,28.589472,16.778948,18.463156,12.968422,6.515787,5.34737,1.8736844,0.36842117,3.2526312,2.188351137745932,4.74791367516409,8.278677377622174,8.274859027333944,16.672841312921765,10.875284481466533,16.736022878052914
691,noise,9.833333,0.16666667,0.0,0.0,16.666668,15.833334,4.666667,6.3333335,76.333336,6.666667,0.0,0.0,0.5,7.5,27.666668,63.833332,69.333336,1.3333333,0.0,0.0,0.6666666,26.5,45.833332,74.333336,40.833336,0.6666666,0.0,0.0,5.3333335,23.666668,11.333333,40.5,28.666666,1.3333334,0.0,0.0,34.333336,27.666668,4.333333,6.166667,155.33333,10.166666,0.0,0.0,5.333333,18.5,13.833333,70.833336,100.0,4.333333,0.0,0.0,13.166666,62.5,34.333332,71.833336,39.0,0.8333334,0.0,0.0,8.166666,32.166664,9.833333,29.5,41.666668,2.0,0.0,0.33333334,39.0,27.166668,1.6666666,4.333333,155.33333,26.833334,0.0,0.0,10.0,18.833332,3.0,23.5,138.83333,23.0,0.0,0.0,16.0,50.5,8.0,18.166666,36.333336,2.5,0.0,0.16666667,8.0,29.0,5.6666665,8.666666,38.0,3.5,1.1666666,5.5,29.833332,11.5,0.16666666,1.0,147.0,38.0,0.0,0.16666667,6.166667,14.333333,4.5,12.833334,135.16667,21.333332,0.0,0.0,0.8333334,10.0,5.666667,14.0,16.333332,0.16666666,0.0,0.6666667,2.0,10.0,6.1666665,7.0,2.3316047907384814,4.69142439002482,9.501700849138674,9.87668070443567,19.619444064884778,12.39347193708807,19.89601320829406
786,pickup,12.298244,10.105263,8.0,1.6140354,5.5263166,5.3684206,4.5614047,1.5087719,113.36842,33.561405,7.245612,0.14035091,3.2631571,4.5614047,6.0877185,28.192982,127.21053,28.122808,1.3157896,1.9824562,13.368422,3.3684213,3.8596487,45.84211,18.315788,1.3508772,0.8947367,5.2456145,45.350876,14.298244,0.4385964,12.263157,22.842108,8.614035,4.982458,0.7368421,4.175439,3.2631583,4.2807026,4.824561,141.0,31.842106,7.789473,3.9649136,5.5087705,5.3684196,4.982456,36.08772,145.85965,48.105267,5.4912295,4.3684196,14.438595,3.0,2.6842105,31.929825,20.982458,5.5789466,2.3859656,5.3859644,52.157894,16.017542,0.42105263,4.842105,21.719297,7.385964,0.87719274,1.7543854,2.8421052,2.842105,6.789473,6.122807,141.82455,34.29824,2.1403513,4.4385953,5.3684196,5.929824,8.807017,34.70176,146.7193,27.385967,1.1929829,4.2105274,16.98246,3.6491218,4.7368426,48.473686,21.087719,5.1052623,0.70175457,16.245619,52.33333,6.1403513,0.63157916,3.6666665,11.157894,2.3333335,0.08771932,3.2807026,2.9122822,2.8245609,10.035088,12.40351,114.29825,27.684212,0.24561402,3.0,2.4035082,0.89473665,6.3508773,36.157894,124.508766,44.508774,1.1228074,3.1578946,14.666667,4.3684206,1.5789474,23.842106,15.508771,10.508771,2.6842103,12.684213,46.87719,8.63158,2.298246,1.5614036,2.68613010784735,6.175333972334331,9.97059194720222,10.033728673117912,21.708762116550634,13.127027542460011,20.035986956190374
889,truck,16.151514,6.4545455,0.46464634,0.0,0.0,0.0,0.010101003,1.7575755,143.52524,35.606056,1.363635,0.010101005,0.0,0.0,0.17171717,37.171715,144.16162,25.040403,0.1515152,0.0606061,0.0,0.050504997,1.2323235,52.020203,18.50505,1.5252525,0.0,0.0,0.0,0.020202007,1.6161613,11.797981,26.424244,2.3535354,0.09090915,0.0,0.0,0.0,0.010101003,5.20202,164.80807,30.616161,0.31313127,0.3333334,0.38383827,0.02020201,0.42424256,59.868687,163.28282,38.17172,0.3434344,1.878789,1.878789,0.16161609,0.44444433,43.25252,21.39394,3.4848487,0.0,0.13131307,0.13131307,0.010101005,0.11111108,4.0202017,26.070707,4.323232,0.010101003,0.0,0.0,0.0,0.07070716,2.8181815,165.75757,48.565655,0.4242426,0.07070706,0.55555576,0.10101006,0.0606061,38.282825,161.08081,37.75758,0.63636345,1.131313,1.878789,0.7171715,0.050505057,45.85859,20.11111,5.0606046,0.2424244,0.111111075,0.2424244,0.02020201,0.0,3.7272725,18.88889,1.5555556,0.0,0.0,0.0,0.0,0.52525204,6.6161604,143.59596,29.37374,0.14141412,0.0,0.0,0.0,0.91919136,45.626263,138.62627,42.404037,1.0505047,0.02020201,0.0,0.0,0.17171717,29.161615,15.040403,14.030302,2.1616168,0.0,0.0,0.0,0.0,1.2121214,3.071239884165707,7.353080256148224,11.238716068947992,11.7251118386006,23.428699209586945,15.45993424728415,23.304034492109192
991,van,17.853449,11.887932,3.1206894,0.0,0.0,0.0,0.0,1.3275862,137.10345,44.620686,3.181034,0.0,0.0,0.008620694,0.08620689,27.77586,141.68103,28.612072,1.5172409,0.0,0.0,0.40517244,0.85344845,47.724136,23.146551,2.232759,0.043103445,0.0,0.0,0.8362068,1.568966,10.198277,25.76724,4.2672405,0.6206898,0.0,0.0,0.0,0.04310344,4.396552,161.67241,32.887928,2.0086203,0.0,0.0,0.0,0.7931033,49.698277,163.76724,40.948277,1.0,0.0,0.0,0.0,1.1034489,41.27586,26.810343,4.103448,0.008620694,0.0,0.008620694,0.043103445,0.103448205,5.0,25.293102,4.0086207,0.034482773,0.0,0.0,0.0,0.9741382,5.9482775,160.65518,45.5,0.9568965,0.0,0.0,0.0,3.1120691,37.525864,162.18103,41.20689,1.0344832,0.0,0.0,0.0,1.5862066,46.86207,25.215519,6.275861,0.14655182,0.0,0.008620694,0.0,0.025862055,4.5,20.284481,1.4137931,0.008620694,0.0,0.0,0.0,1.8965509,12.068963,137.04312,28.37931,0.15517247,0.0,0.0,0.0,4.172415,40.801723,137.0431,46.58621,0.48275858,0.0,0.0,0.0,0.77586216,25.5,18.396551,15.577592,0.9655165,0.3448277,0.0,0.0,0.008620694,1.336207,3.1262846971683964,7.67255700221909,12.023133825819361,11.434569769433958,23.16393289577308,15.333137725313723,24.477704248966898
2,bike,17.531103,35.06698,18.52632,7.6602883,4.4784684,2.9617229,2.3971298,2.4066975,86.88995,67.04304,13.70335,5.6507187,3.7894742,3.751198,3.5550244,21.598087,88.06698,30.526316,4.1578927,4.0239215,3.937797,5.5023923,7.8086147,44.349293,18.291862,2.454546,3.6985648,5.9665112,11.976078,7.693776,8.02871,22.330147,24.818186,18.980858,10.473684,9.306224,5.7224894,3.9856462,2.8038259,4.23445,133.6842,52.918667,9.157892,7.267941,5.8564625,4.5550246,5.1961756,40.27751,131.13397,40.784683,6.2775126,6.727273,8.464118,5.081339,6.062205,40.291862,23.97129,5.4736834,2.846889,5.8612485,16.746418,7.239236,5.0382776,11.138751,26.77034,6.4162674,2.9330149,4.9282336,5.1052604,5.894739,9.325359,18.29665,134.46411,41.325356,4.287083,4.0047827,5.6650734,6.6172285,10.784687,54.07656,131.50717,38.861248,4.794257,4.511961,7.827745,6.3540688,7.9665084,42.56938,23.803825,8.272727,3.1339705,6.8468876,16.808624,6.1483264,3.5358844,7.6794252,19.564589,3.0574162,1.3779902,1.7559804,2.0095701,5.952155,18.822966,34.196175,89.45933,25.19139,3.0430632,2.712918,1.8612442,3.4497597,13.889951,66.82774,88.33015,44.607647,7.258373,3.3253572,3.100478,3.7177038,4.7799025,31.937796,16.468897,18.531097,8.473682,9.2440195,14.191378,6.3205676,2.0,4.0095706,3.037517698576873,8.946841553318475,12.11244819889511,11.297363402842139,23.56838485156069,17.67399910809894,23.018905359143265
